"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2015","1.5288","1.5352","1.5816","1.5089","","-0.40%"
"04/01/2015","1.5349","1.4818","1.5498","1.4566","","3.60%"
"03/01/2015","1.4816","1.5442","1.5448","1.4634","","-3.99%"
"02/01/2015","1.5432","1.5086","1.5554","1.4988","","2.43%"
"01/01/2015","1.5066","1.5577","1.5587","1.4950","","-3.26%"
"12/01/2014","1.5573","1.5651","1.5786","1.5486","","-0.47%"
"11/01/2014","1.5646","1.5977","1.6023","1.5589","","-2.18%"
"10/01/2014","1.5995","1.6214","1.6252","1.5875","","-1.34%"
"09/01/2014","1.6212","1.6595","1.6646","1.6051","","-2.32%"
"08/01/2014","1.6597","1.6887","1.6895","1.6526","","-1.70%"
"07/01/2014","1.6884","1.7107","1.7192","1.6856","","-1.28%"
"06/01/2014","1.7103","1.6766","1.7117","1.6697","","2.11%"
"05/01/2014","1.6750","1.6873","1.6998","1.6693","","-0.71%"
"04/01/2014","1.6870","1.6661","1.6902","1.6553","","1.25%"
"03/01/2014","1.6662","1.6747","1.6787","1.6460","","-0.48%"
"02/01/2014","1.6743","1.6446","1.6824","1.6251","","1.89%"
"01/01/2014","1.6432","1.6558","1.6668","1.6309","","-0.75%"
"12/01/2013","1.6556","1.6364","1.6580","1.6221","","1.17%"
"11/01/2013","1.6365","1.6039","1.6386","1.5854","","2.03%"
"10/01/2013","1.6040","1.6185","1.6262","1.5893","","-0.89%"
"09/01/2013","1.6184","1.5512","1.6203","1.5505","","4.36%"
"08/01/2013","1.5508","1.5209","1.5718","1.5102","","1.99%"
"07/01/2013","1.5206","1.5200","1.5435","1.4813","","-0.03%"
"06/01/2013","1.5210","1.5197","1.5753","1.5165","","0.08%"
"05/01/2013","1.5198","1.5533","1.5606","1.5008","","-2.14%"
"04/01/2013","1.5531","1.5208","1.5567","1.5034","","2.17%"
"03/01/2013","1.5201","1.5162","1.5269","1.4830","","0.27%"
"02/01/2013","1.5160","1.5857","1.5880","1.5072","","-4.38%"
"01/01/2013","1.5854","1.6253","1.6382","1.5675","","-2.44%"
"12/01/2012","1.6251","1.6012","1.6307","1.6002","","1.51%"
"11/01/2012","1.6010","1.6128","1.6177","1.5827","","-0.73%"
"10/01/2012","1.6128","1.6163","1.6219","1.5912","","-0.22%"
"09/01/2012","1.6164","1.5868","1.6310","1.5826","","1.89%"
"08/01/2012","1.5864","1.5679","1.5913","1.5489","","1.20%"
"07/01/2012","1.5676","1.5698","1.5769","1.5392","","-0.18%"
"06/01/2012","1.5705","1.5408","1.5779","1.5267","","1.96%"
"05/01/2012","1.5403","1.6236","1.6249","1.5360","","-5.10%"
"04/01/2012","1.6231","1.6075","1.6302","1.5804","","1.38%"
"03/01/2012","1.6010","1.5915","1.6037","1.5603","","0.59%"
"02/01/2012","1.5916","1.5756","1.5992","1.5644","","1.02%"
"01/01/2012","1.5756","1.5500","1.5797","1.5235","","1.42%"
"12/01/2011","1.5535","1.5696","1.5775","1.5361","","-1.01%"
"11/01/2011","1.5694","1.6078","1.6131","1.5423","","-2.45%"
"10/01/2011","1.6088","1.5572","1.6166","1.5272","","3.25%"
"09/01/2011","1.5582","1.6240","1.6259","1.5326","","-4.12%"
"08/01/2011","1.6252","1.6393","1.6619","1.6111","","-1.01%"
"07/01/2011","1.6418","1.6044","1.6472","1.5781","","2.31%"
"06/01/2011","1.6047","1.6448","1.6497","1.5912","","-2.44%"
"05/01/2011","1.6449","1.6709","1.6739","1.6061","","-1.51%"
"04/01/2011","1.6701","1.6035","1.6747","1.5971","","4.18%"
"03/01/2011","1.6031","1.6257","1.6402","1.5935","","-1.40%"
"02/01/2011","1.6258","1.6016","1.6279","1.5964","","1.52%"
